"CÓD. 
DEP.";DEPARTAMENTO;CÓD. MUN.;MUNICIPIO;"GRUPO 
DE CULTIVO";"SUBGRUPO 
DE CULTIVO";CULTIVO;DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO;AÑO;PERIODO;"Área Sembrada
(ha)";"Área Cosechada
(ha)";"Producción
(t)";"Rendimiento
(t/ha)";ESTADO FISICO PRODUCCION;"NOMBRE 
CIENTIFICO";CICLO DE CULTIVO
13;BOLIVAR;13244;EL CARMEN DE BOLIVAR;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2007;2007;3400;2600;31200;12;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13654;SAN JACINTO;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2007;2007;660;600;10800;18;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13006;ACHI;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2007;2007;80;80;800;10;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13074;BARRANCO DE LOBA;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2007;2007;18;18;180;10;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13268;EL PEÑON;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2007;2007;10;10;100;10;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13244;EL CARMEN DE BOLIVAR;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2008;2008;3500;2700;32400;12;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13654;SAN JACINTO;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2008;2008;700;600;10800;18;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13006;ACHI;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2008;2008;80;80;720;9;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13268;EL PEÑON;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2008;2008;60;60;900;15;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13074;BARRANCO DE LOBA;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2008;2008;18;18;198;11;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13667;SAN MARTIN DE LOBA;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2008;2008;15;15;150;10;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13673;SANTA CATALINA;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2008;2008;5;2;12;6;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13244;EL CARMEN DE BOLIVAR;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2009;2009;3310;3300;33000;10;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13654;SAN JACINTO;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2009;2009;500;420;5040;12;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13006;ACHI;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2009;2009;80;80;800;10;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13268;EL PEÑON;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2009;2009;60;60;900;15;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
13;BOLIVAR;13074;BARRANCO DE LOBA;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2009;2009;18;18;180;10;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
