Departamento;Municipio;Código prestador;Nombre prestador;nit IPS ;num digito_verificion;naturaleza;num nivel atencion;Código sede;Número sede;nom sede IPS;Gerente;Dirección;Email;Teléfono;nom grupo capacidad ;nom descripcion capacidad ;num cantidad capacidad instalada;Fecha Corte;Fuente
Atlántico;BARANOA;807800030;IPS CLINICA  SANTA ANA DE BARANOA;802001084;2;Privada;;807800030;1;I.P.S CLINICA SANTA ANA DE BARANOA LTDA;FLORENTINO GOENAGA OÑORO;CALLE 18 N° 20 - 59;calidadcsa2021@gmail.com;8787559;AMBULANCIAS;Básica;1;Fecha corte REPS: Nov  5 2022  1:37PM;Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS.
Atlántico;BARANOA;807800030;IPS CLINICA  SANTA ANA DE BARANOA;802001084;2;Privada;;807800030;1;I.P.S CLINICA SANTA ANA DE BARANOA LTDA;FLORENTINO GOENAGA OÑORO;CALLE 18 N° 20 - 59;calidadcsa2021@gmail.com;8787559;AMBULANCIAS;Básica;1;Fecha corte REPS: Nov  5 2022  1:37PM;Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS.
Atlántico;BARANOA;807800030;IPS CLINICA  SANTA ANA DE BARANOA;802001084;2;Privada;;807800030;1;I.P.S CLINICA SANTA ANA DE BARANOA LTDA;FLORENTINO GOENAGA OÑORO;CALLE 18 N° 20 - 59;calidadcsa2021@gmail.com;8787559;CAMAS;Pediátrica;5;Fecha corte REPS: Nov  5 2022  1:37PM;Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS.
Atlántico;BARANOA;807800030;IPS CLINICA  SANTA ANA DE BARANOA;802001084;2;Privada;;807800030;1;I.P.S CLINICA SANTA ANA DE BARANOA LTDA;FLORENTINO GOENAGA OÑORO;CALLE 18 N° 20 - 59;calidadcsa2021@gmail.com;8787559;CAMAS;Adultos;13;Fecha corte REPS: Nov  5 2022  1:37PM;Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS.
Atlántico;BARANOA;807800030;IPS CLINICA  SANTA ANA DE BARANOA;802001084;2;Privada;;807800030;1;I.P.S CLINICA SANTA ANA DE BARANOA LTDA;FLORENTINO GOENAGA OÑORO;CALLE 18 N° 20 - 59;calidadcsa2021@gmail.com;8787559;CAMAS;TPR;8;Fecha corte REPS: Nov  5 2022  1:37PM;Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS.
Atlántico;BARANOA;807800030;IPS CLINICA  SANTA ANA DE BARANOA;802001084;2;Privada;;807800030;1;I.P.S CLINICA SANTA ANA DE BARANOA LTDA;FLORENTINO GOENAGA OÑORO;CALLE 18 N° 20 - 59;calidadcsa2021@gmail.com;8787559;CAMAS;Intermedia Adultos;7;Fecha corte REPS: Nov  5 2022  1:37PM;Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS.
Atlántico;BARANOA;807800030;IPS CLINICA  SANTA ANA DE BARANOA;802001084;2;Privada;;807800030;1;I.P.S CLINICA SANTA ANA DE BARANOA LTDA;FLORENTINO GOENAGA OÑORO;CALLE 18 N° 20 - 59;calidadcsa2021@gmail.com;8787559;CAMAS;Intensiva Adultos;5;Fecha corte REPS: Nov  5 2022  1:37PM;Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS.
Atlántico;BARANOA;807800030;IPS CLINICA  SANTA ANA DE BARANOA;802001084;2;Privada;;807800030;1;I.P.S CLINICA SANTA ANA DE BARANOA LTDA;FLORENTINO GOENAGA OÑORO;CALLE 18 N° 20 - 59;calidadcsa2021@gmail.com;8787559;CAMILLAS;Observación Pediátrica;4;Fecha corte REPS: Nov  5 2022  1:37PM;Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS.
Atlántico;BARANOA;807800030;IPS CLINICA  SANTA ANA DE BARANOA;802001084;2;Privada;;807800030;1;I.P.S CLINICA SANTA ANA DE BARANOA LTDA;FLORENTINO GOENAGA OÑORO;CALLE 18 N° 20 - 59;calidadcsa2021@gmail.com;8787559;CAMILLAS;Observación Adultos Hombres;7;Fecha corte REPS: Nov  5 2022  1:37PM;Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS.
Atlántico;BARANOA;807800030;IPS CLINICA  SANTA ANA DE BARANOA;802001084;2;Privada;;807800030;1;I.P.S CLINICA SANTA ANA DE BARANOA LTDA;FLORENTINO GOENAGA OÑORO;CALLE 18 N° 20 - 59;calidadcsa2021@gmail.com;8787559;CAMILLAS;Observación Adultos Mujeres;7;Fecha corte REPS: Nov  5 2022  1:37PM;Base de datos Registro Especial de Prestadores de Servicios de Salud - REPS.
