AÑ;TRIMESTRE;PROVEEDOR;COD DEPARTAMENTO;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;CABECERA MUNICIPAL;COD CENTRO POBLADO;CENTRO POBLADO;COBERTURA 2G;COBERTURA 3G;COBERTURA HSPA+, HSPA+DC;COBERTUTA 4G;COBERTURA LTE;COBERTURA 5G
2022;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468013;LA RINCONADA;S;S;S;N;N;N
2023;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13433;MAHATES;N;13433004;SAN BASILIO DE PALENQUE;N;S;S;S;N;N
2022;4;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13430;MAGANGU�;S;13430000;MAGANGU�;N;S;S;S;N;N
2023;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13442;MARÍA LA BAJ;S;13442000;MARÍA LA BAJ;N;S;S;S;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;N;13244017;SANTO DOMINGO DE MEZA;S;S;S;S;N;N
2022;4;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8685;SANTO TOMÁ;S;8685000;SANTO TOMÁ;N;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8078;BARANOA;S;8078000;BARANOA;S;S;S;S;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430039;BOCA DE GUAMAL;N;N;N;N;N;N
2021;4;AVANTEL S.A.S;13;BOLÍVA;13670;SAN PABLO;S;13670000;SAN PABLO;S;S;S;N;N;N
2021;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8832;TUBAR�;N;8832013;NUEVA ESPERANZA;S;N;N;N;N;N
2023;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13160;CANTAGALLO;N;13160002;BRISAS DE BOLÍVA;S;S;N;N;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430002;BARRANCA DE YUCA;S;S;S;S;N;N
2021;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13006;ACH�;S;13006000;ACH�;S;S;S;S;N;N
2021;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8573;PUERTO COLOMBIA;N;8573003;SABANILLA (MONTE CARMELO);S;S;S;S;N;N
2022;1;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13430;MAGANGU�;N;13430013;JUAN ARIAS;N;S;S;N;N;N
2023;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;N;13244021;PADULA;N;N;N;S;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442014;COL�;S;S;S;N;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8520;PALMAR DE VARELA;S;8520001;PALMAR DE VARELA;S;S;S;N;S;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13873;VILLANUEVA;N;13873001;ZIPACOA;S;S;N;N;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8638;SABANALARGA;N;8638001;AGUADA DE PABLO;S;S;S;S;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8634;SABANAGRANDE;S;8634000;SABANAGRANDE;S;S;S;S;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8421;LURUACO;N;8421001;ARROYO DE PIEDRA;S;S;S;S;N;N
2023;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13001;CARTAGENA;N;13001001;ARROYO DE PIEDRA;S;S;S;N;N;N
2022;4;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8433;MALAMBO;S;8433000;MALAMBO;N;S;S;S;N;N
2021;4;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8573;PUERTO COLOMBIA;S;8573000;PUERTO COLOMBIA;S;S;S;S;N;N
2023;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13744;SIMIT�;S;13744000;SIMIT�;N;S;S;S;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8421;LURUACO;N;8421005;SANTA CRUZ;S;S;S;S;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8433;MALAMBO;N;8433001;CARACOL�;S;S;S;S;N;N
2022;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13580;REGIDOR;N;13580006;SANTA LUCÍ;N;N;N;S;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8560;PONEDERA;N;8560001;LA RETIRADA;S;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8606;REPELÓ;N;8606005;VILLA ROSA;S;S;S;S;N;N
2021;4;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8078;BARANOA;N;8078002;PITAL;S;S;S;S;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13673;SANTA CATALINA;N;13673003;GALERAZAMBA;S;S;S;S;N;N
2022;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13433;MAHATES;S;13433000;MAHATES;N;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8433;MALAMBO;N;8433005;PITALITO;S;S;S;N;N;N
2022;2;AVANTEL S.A.S;13;BOLÍVA;13042;ARENAL;S;13042000;ARENAL;S;S;S;S;N;N
2023;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13001;CARTAGENA;N;13001026;ARROYO DE LAS CANOAS;S;N;N;N;N;N
2021;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13222;CLEMENCIA;S;13222000;CLEMENCIA;S;S;S;S;N;N
2022;3;PARTNERS TELECOM COLOMBIA SAS;8;ATLÁNTIC;8770;SUAN;S;8770000;SUAN;N;S;S;S;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13654;SAN JACINTO;N;13654008;LAS MERCEDES;N;N;N;N;N;N
2022;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13062;ARROYOHONDO;N;13062001;MACHADO;N;N;N;S;N;N
2021;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8558;POLONUEVO;S;8558000;POLONUEVO;S;S;S;S;N;N
2022;1;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8606;REPELÓ;N;8606004;ROTINET;S;S;S;S;N;N
2023;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13001;CARTAGENA;N;13001012;SANTA ANA;N;S;S;S;N;N
2022;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13440;MARGARITA;N;13440010;SAN JOSÉ DE LOS TRAPICHE;S;N;N;N;N;N
2023;2;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8634;SABANAGRANDE;S;8634000;SABANAGRANDE;N;S;S;S;N;N
2021;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468015;LOMA DE SIMÓ;S;N;N;N;N;N
2022;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8573;PUERTO COLOMBIA;N;8573002;SALGAR;S;S;S;N;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13006;ACH�;S;13006000;ACH�;S;S;S;S;N;N
2022;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13030;ALTOS DEL ROSARIO;N;13030001;EL RUBIO;N;N;N;S;N;N
2021;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13212;CÓRDOB;S;13212001;CÓRDOB;S;S;S;N;S;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13062;ARROYOHONDO;N;13062004;SATO;S;S;N;N;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13006;ACH�;N;13006003;BUENAVISTA;S;S;S;N;N;N
2022;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8421;LURUACO;N;8421004;SAN JUAN DE TOCAGUA;S;N;N;N;N;N
2023;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8001;BARRANQUILLA;S;8001000;BARRANQUILLA;S;S;S;S;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;N;13244020;LÁZAR;S;S;N;N;N;N
2021;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13440;MARGARITA;N;13440010;SAN JOSÉ DE LOS TRAPICHE;S;N;N;N;N;N
2021;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13140;CALAMAR;S;13140001;CALAMAR;S;S;S;N;S;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8296;GALAPA;S;8296000;GALAPA;S;S;S;S;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8573;PUERTO COLOMBIA;N;8573002;SALGAR;S;S;S;S;N;N
2021;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13062;ARROYOHONDO;N;13062006;SAN FRANCISCO (SOLABANDA);S;S;N;N;N;N
2022;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442004;MANPUJÁ;N;S;S;S;N;N
2023;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13140;CALAMAR;S;13140000;CALAMAR;S;S;S;S;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8606;REPELÓ;N;8606003;LAS TABLAS;S;S;S;N;N;N
2022;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13160;CANTAGALLO;N;13160002;BRISAS DE BOLÍVA;S;S;N;N;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8606;REPELÓ;N;8606009;PITA;S;S;S;N;N;N
2023;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13052;ARJONA;N;13052004;SINCERÍ;S;N;N;N;N;N
2022;2;AVANTEL S.A.S;13;BOLÍVA;13688;SANTA ROSA DEL SUR;S;13688000;SANTA ROSA DEL SUR;S;S;S;S;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13744;SIMIT�;S;13744000;SIMIT�;S;S;S;S;N;N
2022;3;PARTNERS TELECOM COLOMBIA SAS;8;ATLÁNTIC;8372;JUAN DE ACOSTA;S;8372000;JUAN DE ACOSTA;N;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13440;MARGARITA;N;13440008;SANDOVAL;S;S;S;N;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13657;SAN JUAN NEPOMUCENO;S;13657000;SAN JUAN NEPOMUCENO;S;S;S;S;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8606;REPELÓ;N;8606009;PITA;S;S;S;S;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13647;SAN ESTANISLAO;S;13647000;SAN ESTANISLAO DE KOSTKA;S;S;S;S;N;N
2021;4;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8685;SANTO TOMÁ;S;8685000;SANTO TOMÁ;S;S;S;S;N;N
2021;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13549;PINILLOS;N;13549009;MANTEQUERA;S;N;N;N;N;N
2021;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13657;SAN JUAN NEPOMUCENO;S;13657000;SAN JUAN NEPOMUCENO;S;S;S;S;N;N
2023;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13549;PINILLOS;N;13549011;PALOMINO;S;N;N;N;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430053;FLORENCIA;S;S;S;S;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8560;PONEDERA;N;8560001;LA RETIRADA;S;S;S;S;N;N
2021;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13655;SAN JACINTO DEL CAUCA;N;13655005;GALINDO;S;S;N;N;N;N
